id,petition_title,signature
619334,Include abortion rights in the Bill of Rights,163092
614335,Do not sign any WHO Pandemic Treaty unless it is approved via public referendum,154593
613556,Ensure Trans people are fully protected under any conversion therapy ban,148535
614893,Automatically suspend PR rights of parent guilty of murdering the other parent.,129770
611810,Ban commercial breeding for laboratories. Implement reform to approve & use NAMs,95395
620264,Recognise Teaching Assistants as an important asset to schools by raising wage.,81818
617603,"Increase State pensions to £380 a week, and lower retirement age to 60",77389
619442,Find the time to take the Kept Animals Bill through Parliament and make it law,75287
615623,Do not reduce staff-child ratios in early years childcare,68919
614869,"Fund pay rise for police officers in line with inflation, plus 1%",67475
614813,Introduce independent body to enforce the ministerial code on ministers.,53597
614202,Suspend Section 25 of the Landlord and Tenant Act (Grounds C to G),42525
617155,Increase statutory maternity pay in line with cost of living crisis,35586
610898,Fund OPTUNE brain cancer treatment for NHS patients,35546
618664,Place a complete ban on the sale and use of disposable BBQ’s in the UK,26841
619615,Limit the shooting season of Woodcock,25631
611113,Ban development on agricultural land to increase food self-sufficiency,23927
617425,Make people on disability benefits eligible for the £650 one off payment.,22506
617450,End the UK’s membership of the World Health Organisation,21786
617874,Increase Carer's Allowance to equal 35hrs at National Minimum Wage,21183
616742,Fund the drug bevacizumab (Avastin) on the NHS to treat colorectal cancer,19157
611884,Fund Evusheld the preventative COVID19 antibody for immunocompromised,18322
616575,Exempt charities using IPAFFS from ban on importing animals from Eastern Europe,18305
610936,"Require all public rights of way be accessible to pedestrians, horses & bicycles",18206
619781,Call an immediate general election to end the chaos of the current government,17735
621932,Allow EU nationals to come to the UK to work in hospitality for up to 2 Years,17343
615852,Change legal definition of stillborn to include all delivered babies,17074
618926,Save the bees: cut hazardous pesticides and support nature-friendly farming,16392
612113,Start school at 10am to help teenagers with tiredness,16270
611150,Commission NICE to Review Guidelines on Chronic Pain (Published April 2021),15811
612699,Make parking at work permanently free for all NHS workers,15779
614931,Make Graduate visa extendable and count towards permanent residency,15682
615829,Ban school uniforms in sex shops and pornography,15479
620839,Set a Minimum Pension Guarantee (MPG) of at least £200 pw for state pensioners,15105
614294,Require local authorities in England to permit motorcycles in bus lanes,14586
618802,Review UK foreign policy in light of reports of Israeli apartheid,14483
612034,Fund research into Topical Steroid Withdrawal (TSW),14424
610557,Ensure student nurses are paid for placement hours,13051
612152,Increase benefits in line with current levels of inflation,13026
614913,Stop the government's 'one way ticket' plan to send asylum seekers to Rwanda,12561
622284,Require all businesses and public services to accept cash payments,12318
617700,Residential Park Home residents should be eligible for £400 electricity grant,11385
620093,Make the NHS Pension scheme tax-unregistered,11366
610944,Increase minimum wage for licensed security workers to £15 an hour,11293
613198,Fast-track access to benefits for terminally ill as soon as diagnosed,11193
615711,Increase staffing to reduce waiting times for visas,11129
616592,"Lift ban on import of rescue animals from Romania, Ukraine, Belarus and Poland",11121
617340,Do not require parents to register home educated children with local authorities,10983
617718,Add Romanian to the Modern Languages GCSE ,10938
622145,Require swimming venues to maintain single-sex or private changing facilities,10482
620962,Full review of Personal Independence Payment (PIP) application process,10386
617180,Make disregard for learners' safety an aggravating factor in driving offences,10148
616480,Do not pass legislation to allow the gene editing of animals and crops,10099
616557,Extend 30 hours free childcare to student midwives/nurses/paramedics,9656
621900,Make Video Games a compulsory part of the national school curriculum,9298
617939,Referendum on whether the UK should be neutral in the Ukraine/Russia conflict,8725
614742,Ban the religious slaughter of animals without first stunning them,8658
621199,Reschedule psilocybin for medical research on untreatable conditions,8613
622758,Fund free access to baby CPR training during pregnancy,8444
621225,Validate Brazilian Drivers Licence and exchange to British equivalent in the UK,8408
619190,Remove indemnity from the manufacturers of covid-19 vaccines,7815
614214,Make school uniform VAT exempt,7796
619481,End assessments and consider disability benefit claims on medical advice alone,7485
619529,Cap energy price increases for small businesses.,7201
618661,"Raise the standard Personal TAX Allowance from £12,570 to £20,000",7012
621375,Allow those diagnosed with Crohn’s and Colitis to access Medical Exemption card,6953
616062,Automatically grant emergency visas to those seeking an abortion in the UK,6716
619609,Minimum wage pay for all healthcare students for placement hours worked!,6655
616636,Apply to Join the European Union (EU),6331
615270,Allow Camping on Farmland for 56 days a year under permitted development,6316
621052,"Reinstate reproductive rights in statement on religion, belief & gender equality",6133
613995,Stop the privatisation of Channel 4,5948
614222,"Reduce the VAT on reusable menstrual products ""Period Pants"" from 20% to 0%",5850
622391,Require train operators maintain ticket offices at railway stations,5847
618456,Withdraw the UK from the European Convention on Human Rights,5527
610642,Review how babies with tongue tie are treated & diagnosed,5519
616713,Seek to negotiate mutual recognition of UK and Spanish driving licences,5123
621931,Hold a General Election within 100 days of the new PM being appointed,4988
612385,Fund improved treatment and awareness of Functional Neurological Disorders,4764
616717,Stop VAT On Vet Bills,4648
618970,Remove references to 'gender identity' from relationships education guidance,4596
616394,Require local authorities replace roadside grass with wild flowers,4530
610771,Review and fund improved testing and treatment for urinary tract infections,4513
621774,Stop vets euthanising healthy dogs when options are available to save them.,4240
612296,Fund Ayurveda treatment on the NHS as a complementary and alternative medicine,4184
614377,Reinstate the IPC grant Funding which paid social care staff who need to isolate,3956
614612,Sanction individuals linked to illegal activities in Sri Lanka.,3897
619720,Fund more specialist school places for children with special educational needs,3853
617540,Do not legislate for imperial-only measurements on goods,3852
612011,Make protection of hedgerows a condition of ELM and BPS subsidies,3801
611322,Do not reduce funding for Covid research,3760
616868,Ban sale of fireworks to the public and limit sales to licensed displays only,3612
621744,Take action to prevent illegal attempts to enter UK across the Channel,3581
611936,Remove Leptospirosis Vaccine as a requirement for dog day care and boarding,3548
617369,Provide all care-experienced children with a right to be assessed for an EHCP,3511
611438,Change the Standard Method for calculating local housing need,3337
614061,Ban hedge cutting and non-essential tree felling between March and August,3188
615367,Ban the racing of horses that are under 4 years old.,3139
618433,Remove the urgency procedure from the Public Health (Control of Disease) Act1984,3052
617645,Enact the Grenfell Inquiry recommendation on Personal Emergency Evacuation Plans,2939
613442,Ban the sale of flying plastic rings to help protect marine wildlife,2937
622481,Increase funding for treatment of pulmonary fibrosis & interstitial lung disease,2852
611708,Ban the use of strip search in schools,2796
614768,Fund 3 rounds of IVF for all couples who cannot conceive naturally,2737
615975,Minimum 15 yr sentences and driving bans for Death By Dangerous Driving,2721
620200,Fund improved training on and care provision for ME/CFS as recommended,2711
619362,Apply to join the Single Market and Customs Union at the earliest opportunity,2674
610900,Increase statutory maternity pay for working mothers to 6 months at 90%,2622
616845,Suspend any MPs accused of sexual offences pending investigations,2593
614506,Permanently abolish NHS pension abatement rules,2579
616113,Make failing to report drink driving with child passengers an offence ,2485
616518,Create benefit for full-time carers of disabled children paying £332.50 a week,2433
618680,"Bring back the Death Penalty for child sexual abuse, rape and murder",2290
615537,We demand that the UK Government declares a Global Climate Emergency,2213
614408,Remove prostitution from the list of priority offences in the Online Safety Bill,2213
615690,Keep MOT tests as a yearly requirement,2175
618769,Negotiate sustainable catch limits for all 5 UK cod stocks with the EU in 2022.,2167
614579,Create an emergency fund for victims of failed funeral plan companies.,2128
615866,Fund air filters and reintroduce measures to protect children and school staff ,2100
611715,"Increase the Category B driving license weight limit from 3,500kg to 3,650kg",2093
611526,Change the law so that possession of a catapult in public becomes an offence,2088
618644,Allow the flying of Suffrage flag as a symbol of women's equality,2060
610459,Reject any future applications to increase passenger numbers at Luton Airport,2013
621277,Increase Funding for Diagnosis and Care of People with Severe Aortic Stenosis,1977
617312,Remove anti-protest measures from the Public Order Bill,1940
617842,Create a specific offence of stirring up hatred on grounds of Gender Identity,1914
620881,Renationalise water,1907
621279,Amend the Equalities Act 2010 to include menopause as a protected characteristic,1899
617995,Regulation of Property Agents - implement working party recommendations in full,1863
615147,Hold a public inquiry into visa arrangements for Ukrainian refugees,1844
613908,Remove duty on motor fuel completely,1843
620084,Create an ‘Adult ADHD strategy’ to improve diagnosis and treatment,1802
615497,Loosen requirements for British citizens to return their pets home from China.,1759
611790,Change the spouse visa eligibility requirements and application process,1710
622806,Give Animal Rescue Centres a grant to offset this winters increased heating cost,1698
611437,Ban new incinerator and pyrolysis sites and invest in waste reduction,1695
617497,Fund cancer immunotherapy treatments beyond 2 years and for rechallenge,1679
620550,Make sanitary waste disposal facilities a requirement in CDM Regulations,1670
620980,Do not rollout Covid-19 winter restrictions,1589
615267,Review NHS care for 16 and 17 year olds,1569
610567,Suspend VAT on road fuels to reduce fuel costs,1569
611335,All schools to be issued a portrait of Her Majesty the Queen this Jubilee Year,1565
621268,Increase minimum sentence for anyone convicted of manslaughter of a child,1526
619461,Fund heart screening in the NHS to avoid young people having cardiac arrests,1495
610585,Temporarily suspend all taxes on all fuels and energy bills,1476
614396,Remove requirements to display calories on menus,1472
617834,Make ‘Mental Health Studies’ a separate subject in the National Curriculum,1470
616114,Pass emergency legislation to block challenges to implementation of Rwanda plan,1465
619550,Require all government agencies and schools to accept cash,1453
614844,Fund support schemes for survivors of Child Sex Abuse,1360
611519,Substantially raise minimum fostering allowances due to current cost of living,1340
620258,Fund expedited treatment for babies born with tongue tie,1314
620888,Seek to join Schengen to ease travel,1303
620177,Fund placenta measurements for all pregnant women on the NHS,1274
615921,Introduce Albanian language as a GCSE and A Level,1253
621078,Reduce fixed penalty for speeding in a 20mph zone to 1 penalty point,1252
612439,Take urgent actions to address the extreme cost of living crisis,1240
615294,We want the UK Government to appoint a dedicated Minister for Manufacturing.,1215
621719,Nationalise energy companies,1160
617111,Introduce a windfall tax on pharmaceutical companies’ Covid-19 related profits,1158
616907,Allow all registered Operating Department Practitioners to prescribe medicines,1096
612372,Fund cervical screening at 20 as opposed to 25,1093
616165,Reimburse all losses from missed travel due to Passport Service delays,1046
618747,Endorse and implement the Plant Based Treaty,1034
617720,Ban artificial nests for wild breeding raptors ,1011
618742,Require schools to allow children to wear shorts and skirts in hot weather,1008
616737,Hold a referendum on the monarchy when the current monarch's reign ends,1004
611117,"Make videoing a sexual act, for any purpose, without consent a voyeurism offence",977
612333,Ban the sale of disposable vapes.,973
622021,Reverse implementation of Freeports unless approved by a public vote,967
