id,petition_title,signature
619334,Include abortion rights in the Bill of Rights,163092
614335,Do not sign any WHO Pandemic Treaty unless it is approved via public referendum,154593
613556,Ensure Trans people are fully protected under any conversion therapy ban,148535
614893,Automatically suspend PR rights of parent guilty of murdering the other parent.,129770
611810,Ban commercial breeding for laboratories. Implement reform to approve & use NAMs,95395
620264,Recognise Teaching Assistants as an important asset to schools by raising wage.,81818
617603,"Increase State pensions to £380 a week, and lower retirement age to 60",77389
619442,Find the time to take the Kept Animals Bill through Parliament and make it law,75287
615623,Do not reduce staff-child ratios in early years childcare,68919
614869,"Fund pay rise for police officers in line with inflation, plus 1%",67475
614813,Introduce independent body to enforce the ministerial code on ministers.,53597
614202,Suspend Section 25 of the Landlord and Tenant Act (Grounds C to G),42525
617155,Increase statutory maternity pay in line with cost of living crisis,35586
610898,Fund OPTUNE brain cancer treatment for NHS patients,35546
618664,Place a complete ban on the sale and use of disposable BBQ’s in the UK,26841
619615,Limit the shooting season of Woodcock,25631
611113,Ban development on agricultural land to increase food self-sufficiency,23927
617425,Make people on disability benefits eligible for the £650 one off payment.,22506
617450,End the UK’s membership of the World Health Organisation,21786
617874,Increase Carer's Allowance to equal 35hrs at National Minimum Wage,21183
616742,Fund the drug bevacizumab (Avastin) on the NHS to treat colorectal cancer,19157
611884,Fund Evusheld the preventative COVID19 antibody for immunocompromised,18322
616575,Exempt charities using IPAFFS from ban on importing animals from Eastern Europe,18305
610936,"Require all public rights of way be accessible to pedestrians, horses & bicycles",18206
619781,Call an immediate general election to end the chaos of the current government,17735
621932,Allow EU nationals to come to the UK to work in hospitality for up to 2 Years,17343
615852,Change legal definition of stillborn to include all delivered babies,17074
618926,Save the bees: cut hazardous pesticides and support nature-friendly farming,16392
612113,Start school at 10am to help teenagers with tiredness,16270
611150,Commission NICE to Review Guidelines on Chronic Pain (Published April 2021),15811
612699,Make parking at work permanently free for all NHS workers,15779
614931,Make Graduate visa extendable and count towards permanent residency,15682
615829,Ban school uniforms in sex shops and pornography,15479
620839,Set a Minimum Pension Guarantee (MPG) of at least £200 pw for state pensioners,15105
614294,Require local authorities in England to permit motorcycles in bus lanes,14586
618802,Review UK foreign policy in light of reports of Israeli apartheid,14483
612034,Fund research into Topical Steroid Withdrawal (TSW),14424
610557,Ensure student nurses are paid for placement hours,13051
612152,Increase benefits in line with current levels of inflation,13026
614913,Stop the government's 'one way ticket' plan to send asylum seekers to Rwanda,12561
622284,Require all businesses and public services to accept cash payments,12318
617700,Residential Park Home residents should be eligible for £400 electricity grant,11385
620093,Make the NHS Pension scheme tax-unregistered,11366
610944,Increase minimum wage for licensed security workers to £15 an hour,11293
613198,Fast-track access to benefits for terminally ill as soon as diagnosed,11193
615711,Increase staffing to reduce waiting times for visas,11129
616592,"Lift ban on import of rescue animals from Romania, Ukraine, Belarus and Poland",11121
617340,Do not require parents to register home educated children with local authorities,10983
617718,Add Romanian to the Modern Languages GCSE ,10938
622145,Require swimming venues to maintain single-sex or private changing facilities,10482
